epoch,train_loss,train_acc,val_loss,val_acc
1,2.416680,0.478552,1.174193,0.710600
2,1.292132,0.860618,0.798348,0.817800
3,0.941555,0.980049,0.739037,0.842800
4,0.828774,0.999501,0.727092,0.869200
5,0.794331,1.000000,0.732161,0.875200
6,0.781579,1.000000,0.713459,0.878600
7,0.776235,1.000000,0.739987,0.877600
8,0.772686,1.000000,0.738713,0.883600
9,0.767591,1.000000,0.736060,0.887400
10,0.760183,1.000000,0.740762,0.898000
11,0.751450,1.000000,0.757906,0.894200
12,0.744537,1.000000,0.751147,0.903800
13,0.738549,1.000000,0.765483,0.906600
14,0.734229,1.000000,0.771480,0.908000
15,0.730447,1.000000,0.786535,0.908400
16,0.727377,1.000000,0.793811,0.909000
17,0.725522,1.000000,0.796193,0.912800
18,0.723798,1.000000,0.805313,0.912800
19,0.722955,1.000000,0.806349,0.909600
20,0.722393,1.000000,0.811335,0.912400
